name,description,unit,value,metrics
Vitamin A (Retinol),"Fat-soluble vitamin for vision, skin and immune health. Avoid high doses long-term; pregnancy caution.",IU,5000.0,"[""HKQuantityTypeIdentifierBodyMass"", ""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierRestingHeartRate""]"
Vitamin C (Ascorbic Acid),Antioxidant supporting immune function and collagen formation; divide doses to reduce GI upset.,mg,500.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierHeartRate"", ""HKQuantityTypeIdentifierVO2Max""]"
Vitamin D3 (Cholecalciferol),"Supports bone, immunity and mood. Often deficient at higher latitudes; pair with K2 for bone health.",IU,2000.0,"[""HKQuantityTypeIdentifierBodyFatPercentage"", ""HKQuantityTypeIdentifierBoneMass"", ""HKCategoryTypeIdentifierSleepAnalysis""]"
Vitamin K2 (MK-7),Directs calcium to bones and away from arteries; commonly paired with Vitamin D.,mcg,100.0,"[""HKQuantityTypeIdentifierBoneMass"", ""HKQuantityTypeIdentifierWaistCircumference""]"
Folate (L-Methylfolate),Active B9 for methylation and homocysteine regulation; preferable in those with MTHFR variants.,mcg,400.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKCategoryTypeIdentifierMindfulSession""]"
Vitamin B12 (Methylcobalamin),Supports energy metabolism and nerve health; useful for vegetarians/vegans.,mcg,1000.0,"[""HKQuantityTypeIdentifierRestingHeartRate"", ""HKCategoryTypeIdentifierSleepAnalysis""]"
Magnesium (Glycinate),"Cofactor in hundreds of enzymes; supports sleep, relaxation and muscle function.",mg,300.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierRestingHeartRate"", ""HKQuantityTypeIdentifierHeartRateVariabilitySDNN""]"
Zinc (Picolinate),Immune and hormonal support; avoid chronic high doses to prevent copper depletion.,mg,15.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierRestingHeartRate""]"
Omega-3 (EPA/DHA),Cardiovascular and cognitive support; often 1–2 g combined EPA/DHA daily.,g,1.5,"[""HKQuantityTypeIdentifierRestingHeartRate"", ""HKQuantityTypeIdentifierHeartRate"", ""HKQuantityTypeIdentifierBloodPressureSystolic"", ""HKQuantityTypeIdentifierBloodPressureDiastolic""]"
Creatine Monohydrate,Improves high‑intensity performance and may support cognition; daily 3–5 g.,g,5.0,"[""HKQuantityTypeIdentifierLeanBodyMass"", ""HKQuantityTypeIdentifierBodyMass"", ""HKQuantityTypeIdentifierVO2Max"", ""HKQuantityTypeIdentifierAppleExerciseTime""]"
