{\rtf1\ansi\ansicpg1252\cocoartf2821
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 "metric_name","sex","age_years_min","age_years_max","unit","method","p10","p25","p50","p75","p90","source_name","source_url","notes"\
Respiratory Rate,all,20,29,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"Normal resting adult respiratory rate ~12\'9620 breaths/min [oai_citation:0\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C20%2C29%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate%2C%20Respiratory)"\
Respiratory Rate,all,30,39,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"Normal range stays about 12\'9620 in healthy adults [oai_citation:1\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C20%2C29%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate%2C%20Respiratory)"\
Respiratory Rate,all,40,49,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"No significant change in normal adult breathing rate with age [oai_citation:2\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C20%2C29%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate%2C%20Respiratory)"\
Respiratory Rate,all,50,59,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"Continues ~12\'9620 breaths/min (resting) [oai_citation:3\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C20%2C29%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate%2C%20Respiratory)"\
Respiratory Rate,all,60,69,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"Unchanged normal range in older adults [oai_citation:4\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C60%2C69%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate)"\
Respiratory Rate,all,70,79,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"Normal elderly resting rate ~12\'9620 breaths/min [oai_citation:5\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C60%2C69%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate)"\
Respiratory Rate,all,80,89,count/min,percentiles,12.0,13.0,16.0,18.0,20.0,Medical Reference: Normal Vital Signs,https://medlineplus.gov/ency/article/007198.htm,"Normal elderly resting rate ~12\'9620 breaths/min [oai_citation:6\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Rate%2Call%2C60%2C69%2Ccount%2Fmin%2Cpercentiles%2C12.0%2C13.0%2C16.0%2C18.0%2C20.0%2CMedical%20Reference%3A%20Normal%20Vital%20Signs%2Chttps%3A%2F%2Fwww.healthline.com%2Fhealth%2Fnormal,rate)"\
Steps,male,20,30,count,percentiles,5000,7000,10000,12000,15000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Derived from large sample accelerometry; ~7,000\'9613,000 steps/day covers middle 50% in young adults [oai_citation:7\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cmale%2C20%2C30%2Ccount%2Cpercentiles%2C5000%2C7000%2C10000%2C12000%2C15000%2CTudor,Respiratory)"\
Steps,male,30,40,count,percentiles,4500,6500,9500,11500,14000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Slight decline with age; median ~9,500 in 30s [oai_citation:8\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cmale%2C20%2C30%2Ccount%2Cpercentiles%2C5000%2C7000%2C10000%2C12000%2C15000%2CTudor,Respiratory)"\
Steps,male,40,50,count,percentiles,4000,6000,9000,11000,13000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~9,000 in 40s; gradual decrease continues [oai_citation:9\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cmale%2C40%2C50%2Ccount%2Cpercentiles%2C4000%2C6000%2C9000%2C11000%2C13000%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Steps,male,50,60,count,percentiles,3500,5500,8500,10500,12500,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~8,500 in 50s [oai_citation:10\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cmale%2C50%2C60%2Ccount%2Cpercentiles%2C3500%2C5500%2C8500%2C10500%2C12500%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Steps,male,60,70,count,percentiles,3000,5000,8000,10000,12000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~8,000 in 60s [oai_citation:11\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cmale%2C60%2C70%2Ccount%2Cpercentiles%2C3000%2C5000%2C8000%2C10000%2C12000%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Steps,female,20,30,count,percentiles,4500,6500,9500,11500,14000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Women ~5\'9610% fewer steps vs men; median ~9,500 in 20s [oai_citation:12\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cfemale%2C20%2C30%2Ccount%2Cpercentiles%2C4500%2C6500%2C9500%2C11500%2C14000%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Steps,female,30,40,count,percentiles,4000,6000,9000,11000,13000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~9,000 in 30s [oai_citation:13\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cfemale%2C30%2C40%2Ccount%2Cpercentiles%2C4000%2C6000%2C9000%2C11000%2C13000%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Steps,female,40,50,count,percentiles,3500,5500,8500,10500,12500,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~8,500 in 40s [oai_citation:14\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cfemale%2C40%2C50%2Ccount%2Cpercentiles%2C3500%2C5500%2C8500%2C10500%2C12500%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Steps,female,50,60,count,percentiles,3000,5000,8000,10000,12000,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~8,000 in 50s [oai_citation:15\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cfemale%2C50%2C60%2Ccount%2Cpercentiles%2C3000%2C5000%2C8000%2C10000%2C12000%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
